Patient ID	Sample Type	Sequencing Type	Library Layout	Single Cell	Center	Plattform	Lanes	Giga Bases	genotype	tamoxifen_treatment	irradiation_treatment	"hdac_treatment
"	ATMi_treatment  only ATAC-seq	Replicate	id3_irradiation_project	id3_hdac_project	arid1a_project																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R5	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	15	CONTROL	UNTREATED	TREATED	UNTREATED		5	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R6	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	CONTROL	UNTREATED	TREATED	UNTREATED		6	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R7	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	16	CONTROL	UNTREATED	TREATED	UNTREATED		7	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R8	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	18	CONTROL	UNTREATED	TREATED	UNTREATED		8	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT_R1	CONTROL-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	8	CONTROL	TREATED	UNTREATED	UNTREATED		1	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_R1	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	9	CONTROL	UNTREATED	UNTREATED	UNTREATED		1	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_R2	CONTROL-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	9	CONTROL	TREATED	UNTREATED	UNTREATED		2	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_R2	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	10	CONTROL	UNTREATED	UNTREATED	UNTREATED		2	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_R3	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	16	CONTROL	UNTREATED	UNTREATED	UNTREATED		3	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_R4	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	18	CONTROL	UNTREATED	UNTREATED	UNTREATED		4	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_R5	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	CONTROL	UNTREATED	UNTREATED	UNTREATED		5	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT_R6	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	CONTROL	UNTREATED	UNTREATED	UNTREATED		6	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT_R7	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	17	CONTROL	UNTREATED	UNTREATED	UNTREATED		7	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
